question,solution,math_topic,grade,standard,substandard
Jawbreakers come in packages of 8. Sarah ate 20 Jawbreakers. How many Jawbreakers does she have left?,"To find out how many Jawbreakers Sarah has left, we first need to determine how many packages of Jawbreakers she bought. 
Since each package has 8 Jawbreakers, we need to divide the total number of Jawbreakers she ate (20) by the number of Jawbreakers in each package (8).
20 / 8 = 2 with a remainder of 4
This means she ate 2 and a half packages of Jawbreakers.
Since you cannot buy half a package, this means she must have bought at least 3 packages to eat 20 Jawbreakers (2 packages would only have 16 Jawbreakers).
To find how many Jawbreakers she has left, we need to multiply the number of Jawbreakers per package (8) by the number of packages she bought (3) and subtract the total number she ate (20)
8 x 3 = 24
24 - 20 = 4
The final answer is 4.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Being a nature lover, Amy gave some money to three forest reserves. If she donated $570.00 to Treetown National Park and The Forest Reserve which is $140.00 more than what she gave to Animal Preservation Park, how much did she donate to all three parks?","To find the total amount Amy donated to all three parks, we first need to determine how much she donated to Animal Preservation Park.
We know that she donated $570.00 to Treetown National Park and The Forest Reserve, and that this amount is $140.00 more than what she gave to Animal Preservation Park.
To find the amount she donated to Animal Preservation Park, we need to subtract $140.00 from the amount she donated to Treetown National Park and The Forest Reserve.
$570.00 - $140.00 = $430.00
This means Amy donated $430.00 to Animal Preservation Park.
Now, we need to add the amounts she donated to all three parks to find the total amount.
$570.00 (Treetown National Park and The Forest Reserve) + $430.00 (Animal Preservation Park) = $1000.00
The final answer is 1000.00","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"To get to school, Chad must either walk around a circular lake or canoe across it. The diameter of the lake is 2 miles. How much shorter is his trip if he canoes across the lake rather than walks around it? (Use the value of pi = 3.14)","To solve this problem, we first need to find the radius of the circular lake by dividing the diameter (2 miles) by 2 so that we can calculate the distance around the lake if he were to walk to school (half of the circumference)
2 / 2 = 1 
To find the length of Chad's trip if he were to walk around the lake, we need to find half of the circumference of the lake because the school is on the opposite side of the lake from Chad. To find half the circumference, we need to multiply the radius (1 mile) by the value of pi (3.14)
1 x 3.14 = 3.14 
To find how much shorter the trip is if he canoes across the lake, we need to subtract the distance he needs to travel by canoe (2 miles) from the distance he needs to travel by walking (3.14 miles)
3.14 - 2 = 1.14 
Chad's trip will be 1.14 miles shorter if he canoes than if he walks around the lake
The final answer is 1.14","1. Single-step and multistep addition, subtraction, and/or multiplication of decimals",5,"5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.","5.CE.3:
d) Solve single-step and multistep contextual problems involving addition, subtraction, and multiplication of decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm."
"A company buys 88 bureaus for 14 offices. If each office should get an equal number of bureaus, how many more bureaus are needed at least?","To find out how many bureaus each office should get, we need to divide the total number of bureaus (88) by the number of offices (14).
88 / 14 = 6.29
This means we can currently give each office 6 bureaus. 
To find how many bureaus we have in total if we give each office 6 bureaus, we need to multiply the number of bureaus for each office (6) by the number of offices (14).
14 x 6 = 84
This means we will have 84 bureaus if we give each office 6 bureaus. 
To find how many more bureaus are needed so each office gets an equal number, we need to subtract the total number of bureaus we have (88) from the next multiple of 14 that is greater than 88, which is 14 x 7 = 98
98 - 88 = 10
The final answer is 10.","1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend
2. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000",4,"4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.
4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 x 12 and the corresponding division facts.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000.
4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Sam has 389 riddles for 18 of his students to guess. If he wants the students to guess the same number of riddles, at least how many more riddles does he need to distribute?","To find out how many more riddles Sam needs to distribute, we first need to divide the total number of riddles he has (389) by the number of students (18) to see how many riddles each student would get.
389 / 18 = 21 with a remainder of 11
This means each student would get approximately 21 riddles, but since we can't give out a fraction of a riddle, we need to round up to the next whole number (22) to make sure each student gets the same amount.
To find the total number of riddles needed for 18 students to have 22 riddles each, we multiply the number of riddles per student (22) by the number of students (18).
22 x 18 = 396
Now, to find out how many more riddles Sam needs to buy, we subtract the number of riddles he already has (389) from the total number of riddles needed (396).
396 - 389 = 7
The final answer is 7.","1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend
2. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000",4,"4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.
4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 x 12 and the corresponding division facts.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000.
4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem."
"Mona is having a party at her house to celebrate her birthday. She invited some friends and family. Mona prepared rainbow colored cupcakes for dessert. If she made 7 sets for each of the 7 colors of the rainbow and each set has 6 cupcakes, how many cupcakes did Mona prepare in total?","To find the total number of cupcakes Mona made, we need to multiply the total number of sets (7) by the number of cupcakes in each set (6).
7 x 6 = 42
The final answer is 42",1. Single-step multiplication and/or division without remainders of whole numbers through 10 x 10,3,"3.CE.2 The student will recall with automaticity multiplication and division facts through 10 × 10; and represent, solve, and justify solutions to single-step contextual problems using multiplication and division with whole numbers.","3.CE.2:
e) Represent, solve, and justify solutions to single-step contextual problems that involve multiplication and division of whole numbers through 10 × 10."
Johnny practiced for the track team and ran 3 laps per minute. How many minutes did it take Johnny to run 10 laps?,"To find how many minutes it took Johnny to run 10 laps, we need to divide the number of laps he ran (10) by the number of laps he can run in a minute (3)
10 / 3 = 3.3333
The final answer is 3.3333",1. Single-step division with decimals,5,"5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.","5.CE.3:
e) Solve single-step contextual problems involving division with decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm."
"Bob who is Sam's next door neighbor decided that he will accompany Sam home. He also took his share which consists of 15 chewing gums, 20 chocolate bars and 15 assorted candies. How many candies did he get?","To find the total number of candies Bob got, we need to add the number of chewing gums, chocolate bars, and assorted candies together. 
First, we add the number of chewing gums (15) and chocolate bars (20) and assorted candies (15). 
15 + 20 + 15 = 50
The final answer is 50.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
"If Lizzie's group is composed of 54 people and they have 17 more members than the other group, how many people are working together to clean the city?","Lizzie's group has 54 people and they have 17 more members than the other group. 
To find the number of people in the other group, we need to subtract 17 from the number of people in Lizzie's group.
54 - 17 = 37
This means the other group has 37 people.
To find the total number of people working together to clean the city, we need to add the number of people in Lizzie's group (54) and the number of people in the other group (37).
54 + 37 = 91
The final answer is 91.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
Hannah is a professional skater. She practices 8 hours every weekend. She practices 17 more hours than that during the week. How many hours does Hannah practice each week?,"Hannah practices 8 hours every weekend and 17 more hours than that during the week.
To find how many hours she practices during the week, we need to add 17 to the number of hours she practices on the weekend.
8 + 17 = 25
This means she practices 25 hours during the week.
To find the total number of hours she practices each week, we need to add the hours she practices on the weekend to the hours she practices during the week.
8 + 25 = 33
The final answer is 33.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000."
