,question,solution,math_topic,grade,standards_alignment,accuracy,solvability,appropriateness,good
0,"A Disney Princess dollhouse is in the shape of a rectangular prism with a length of 25 centimeters, a width of 10 centimeters, and a height of 8 centimeters. What is the volume of the dollhouse in cubic centimeters?","To find the volume of the dollhouse, we need to remember that the volume of a rectangular prism is found by multiplying the length, width, and height.
The formula for the volume of a rectangular prism is V = l x w x h, where V is the volume, l is the length, w is the width, and h is the height.
The length of the dollhouse is 25 centimeters, the width is 10 centimeters, and the height is 8 centimeters.
We can plug these values into the formula: V = 25 x 10 x 8
First, we multiply the length and width: 25 x 10 = 250
Then, we multiply the result by the height: 250 x 8 = 2000
The volume of the dollhouse is 2000 cubic centimeters.
The final answer is 2000.","1. Perimeter, area, and/or volume in standard units of measure",5,1,1,1,1,1
1,"A Disney store has 48 dolls of Disney Princesses to pack into boxes. Each box can hold 6 dolls. How many boxes can they fill, and will there be any dolls left over?","To find out how many boxes they can fill, we need to divide the total number of dolls (48) by the number of dolls each box can hold (6).
48 ÷ 6 = 8
This means they can fill 8 boxes. 
To find out if there will be any dolls left over, we need to check if 8 * 6 = 48. 
8 * 6 = 48
Since 8 * 6 equals 48, there will be no dolls left over.
The final answer is 8.",1. Single-step division without remainders for a one-digit divisor and a two- or three-digit dividend,4,1,1,1,1,1
2,"A Disney store has 93 Disney Princess dolls to pack into boxes. Each box can hold 9 dolls. How many boxes can be completely filled, and how many dolls will be left over?","To find out how many boxes can be completely filled, we need to divide the total number of dolls (93) by the number of dolls each box can hold (9).
93 / 9 = 10.33
This means we can fill 10 boxes completely, because we can't fill a fraction of a box.
To find the number of dolls used in the boxes, we multiply the number of boxes (10) by the number of dolls each box can hold (9).
10 x 9 = 90
Now, we subtract the dolls used in the boxes (90) from the total number of dolls (93) to find the remaining dolls.
93 - 90 = 3
This means we will have 3 dolls left over after filling 10 boxes.
So, the number of boxes that can be completely filled is 10, and the number of dolls left over is 3.
The final answer is 10 boxes with 3 dolls left over.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders",5,1,1,1,1,1
3,"A Fairy Tale character, Jack, is making a magical potion that requires 2 pints of sparkling fairy dust mixed with 1 quart of enchanted forest water. If Jack only has a 2-gallon container to mix the ingredients, will he have enough space to mix the potion, considering 1 gallon is equal to 4 quarts?","To determine if Jack has enough space, we first need to convert the volume of the ingredients and the container into the same units. 
We know that 1 gallon is equal to 4 quarts. 
So, the 2-gallon container is equal to 2 x 4 = 8 quarts. 
The potion requires 2 pints of sparkling fairy dust and 1 quart of enchanted forest water. 
Since 1 quart is equal to 2 pints, the total volume of the ingredients is 2 pints + 2 pints (1 quart) = 4 pints or 1 quart (because 4 pints is equal to 1 quart) + 1 quart = 2 quarts. 
Now we compare the total volume of the ingredients (2 quarts) to the volume of the container (8 quarts - 2 quarts = 6 quarts of empty space, but we only need 2 quarts for the ingredients and the rest can be empty space, so 8 quarts is more than enough). 
The final answer is yes.","1. Determine equivalent measures within the U.S. Customary system for length, weight/mass, and/or liquid volume",4,1,1,1,1,1
4,"A Fairy Tales and Folklore bookstore has a shelf with boxes of fairy dust. Each box contains 4.2 ounces of fairy dust and costs $2.50. If a customer wants to buy fairy dust and has a $10.00 bill, how many boxes of fairy dust can she buy with her $10.00, and how much money will she have left over after the purchase?","To find out how many boxes of fairy dust the customer can buy, we first need to determine the maximum number of boxes she can purchase with her $10.00.
Each box costs $2.50, so to find the number of boxes, we need to divide the amount of money she has ($10.00) by the cost per box ($2.50).
$10.00 / $2.50 = 4
This means she can buy 4 boxes of fairy dust.
To find how much money she will have left over after the purchase, we need to multiply the number of boxes (4) by the cost per box ($2.50) and then subtract this amount from $10.00.
4 x $2.50 = $10.00
$10.00 - $10.00 = $0.00
The final answer is 4.",1. Single-step division with decimals,5,0,0,1,1,0
5,A National Park has a rectangular walking trail that is 300 meters long and 120 meters wide. What is the area of the walking trail in square meters?,"To find the area of the walking trail, we need to use the formula for area, which is length times width. 
The length of the walking trail is 300 meters and the width is 120 meters. 
We multiply the length and width to find the area: 
300 * 120 = 36000
This means the area of the walking trail is 36000 square meters.
The final answer is 36000.","1. Perimeter, area, and/or volume in standard units of measure",5,1,1,1,1,1
6,"A Native American artist is making traditional pottery for a cultural festival. She needs to mix 1/4 of a bag of red clay with 1/4 of a bag of yellow clay to create a specific color. If she already has 1/2 of a bag of mixed clay from a previous project, how much more mixed clay does she need to make 1 whole bag of the desired color?","To find out how much more mixed clay the artist needs, we first need to add the fractions of red and yellow clay she will mix. 
The artist will mix 1/4 of a bag of red clay with 1/4 of a bag of yellow clay. 
So, we add 1/4 + 1/4 = 2/4 = 1/2.
Since the artist already has 1/2 of a bag of mixed clay, we need to subtract the fraction she has from the total fraction she needs. 
However, the question asks for the amount needed to make 1 whole bag. Since 1/2 + 1/2 = 1, the artist needs another 1/2 of the mixed clay to have a whole bag.
The final answer is 1/2.","1. Single-step addition and/or subtraction with fractions (proper or improper) and/or mixed numbers with like denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12",4,1,1,1,1,1
7,"A Native American craft fair is being held to sell traditional items such as dreamcatchers and handmade jewelry. If 18 dreamcatchers are packed into boxes that hold 3 dreamcatchers each, how many boxes are needed and how many dreamcatchers will be left over to be sold individually?","To find out how many boxes are needed and how many dreamcatchers will be left over, we need to divide the total number of dreamcatchers (18) by the number of dreamcatchers each box can hold (3).
18 / 3 = 6 with a remainder of 0.
This means 6 boxes are needed to pack the dreamcatchers and there will be no dreamcatchers left over to be sold individually.
The final answer is 6.","1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders
3. Single-step and multistep addition, subtraction, and/or multiplication of decimals
4. Single-step division with decimals",5,1,1,1,0,0
8,"A Native American potter, Grey Wolf, is making traditional clay pots for a festival. She needs to put a border of clay around each of the 8 pots she made. If she has 3/4 yard of clay to use for the borders, and she will use an equal amount of clay for each pot, how much clay will she put around each pot?","To find out how much clay Grey Wolf will put around each pot, we need to divide the total amount of clay she has (3/4 yard) by the number of pots (8). 
First, we need to convert the mixed number to an improper fraction. 
Since 3/4 is already an improper fraction, we will multiply 3/4 by 8. 
To multiply 3/4 and 8, we will multiply the numerator (3) by 8 and keep the denominator (4) the same.
(3 × 8) / 4 = 24 / 4
Now we will divide 24 by 4 to simplify.
24 / 4 = 6
So 3/4 × 8 = 6/4, but we can simplify this by dividing the numerator (6) by the denominator (4).
6 / 4 = 1 2/4
Now we have 1 2/4, which is a mixed number. 
This means Grey Wolf can put 1 and 2/4 yards of clay around each pot.
The final answer is 1 2/4.","1. Single-step multiplication of a whole number 12 or less with a unit fraction with denominators 2, 3, 4, 5, 6, 8, 10, and 12",4,1,1,1,1,1
9,"A Native American potter, Grey Wolf, is making traditional clay pots for a festival. She needs to put a border of clay around each of the 8 pots she made. If she only has 3/4 of a bundle of clay left, how many bundles of clay will she need to put a border around each pot if each pot needs 1/4 of a bundle of clay?","To find the total number of bundles of clay Grey Wolf will need, we first need to determine how many bundles of clay are needed for all the pots.
Each pot needs 1/4 of a bundle of clay and there are 8 pots.
To find the total amount of clay needed for all the pots, we need to multiply the number of pots (8) by the amount of clay each pot needs (1/4).
8 x 1/4 = 8/4 = 2
This means Grey Wolf will need 2 bundles of clay to put a border around all the pots.
Since Grey Wolf only has 3/4 of a bundle of clay, and she needs 2 bundles, we need to determine how many more bundles of clay she needs to buy.
To find out how many bundles of clay she needs to buy, we need to subtract the amount of clay she has (3/4) from the amount of clay she needs (2).
First, we convert 2 to 8/4 to have like denominators.
2 = 8/4
Now we can subtract.
8/4 - 3/4 = 5/4
This means Grey Wolf will need 5/4 of a bundle of clay more, but since we can't buy a fraction of a bundle, this means she will need to buy 2 bundles of clay to have enough for all the pots and have 3/4 of a bundle of clay left over.
The final answer is 2.","1. Single-step multiplication of a whole number 12 or less with a unit fraction with denominators 2, 3, 4, 5, 6, 8, 10, and 12",4,1,1,1,1,1
