question,solution,grade,math_topic,standard,substandard
"A Disney Princess dollhouse is in the shape of a rectangular prism with a length of 25 centimeters, a width of 10 centimeters, and a height of 8 centimeters. What is the volume of the dollhouse in cubic centimeters?","To find the volume of the dollhouse, we need to remember that the volume of a rectangular prism is found by multiplying the length, width, and height.
The formula for the volume of a rectangular prism is V = l x w x h, where V is the volume, l is the length, w is the width, and h is the height.
The length of the dollhouse is 25 centimeters, the width is 10 centimeters, and the height is 8 centimeters.
We can plug these values into the formula: V = 25 x 10 x 8
First, we multiply the length and width: 25 x 10 = 250
Then, we multiply the result by the height: 250 x 8 = 2000
The volume of the dollhouse is 2000 cubic centimeters.
The final answer is 2000.",5,"1. Perimeter, area, and/or volume in standard units of measure","5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure."
"A Disney store has 93 Disney Princess dolls to pack into boxes. Each box can hold 9 dolls. How many boxes can be completely filled, and how many dolls will be left over?","To find out how many boxes can be completely filled, we need to divide the total number of dolls (93) by the number of dolls each box can hold (9).
93 / 9 = 10.33
This means we can fill 10 boxes completely, because we can't fill a fraction of a box.
To find the number of dolls used in the boxes, we multiply the number of boxes (10) by the number of dolls each box can hold (9).
10 x 9 = 90
Now, we subtract the dolls used in the boxes (90) from the total number of dolls (93) to find the remaining dolls.
93 - 90 = 3
This means we will have 3 dolls left over after filling 10 boxes.
So, the number of boxes that can be completely filled is 10, and the number of dolls left over is 3.
The final answer is 10 boxes with 3 dolls left over.",5,"1. Single-step and multistep addition, subtraction, multiplication, and/or division with whole numbers where:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits
2. Division with remainders","5.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep contextual problems using addition, subtraction, multiplication, and division with whole numbers.","5.CE.1:
b) Represent, solve, and justify solutions to single-step and multistep contextual problems by applying strategies (e.g., estimation, properties of addition and multiplication) and algorithms, including the standard algorithm, involving addition, subtraction, multiplication, and division of whole numbers, with and without remainders, in which:
   i) sums, differences, and products do not exceed five digits;
   ii) factors do not exceed two digits by three digits;
   iii) divisors do not exceed two digits; or
   iv) dividends do not exceed four digits.
c) Interpret the quotient and remainder when solving a contextual problem."
A National Park has a rectangular walking trail that is 300 meters long and 120 meters wide. What is the area of the walking trail in square meters?,"To find the area of the walking trail, we need to use the formula for area, which is length times width. 
The length of the walking trail is 300 meters and the width is 120 meters. 
We multiply the length and width to find the area: 
300 * 120 = 36000
This means the area of the walking trail is 36000 square meters.
The final answer is 36000.",5,"1. Perimeter, area, and/or volume in standard units of measure","5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure."
"A Native American pottery artist is making a large, rectangular planter box to hold her artwork. The box will have a length of 15 inches, a width of 8 inches, and a height of 6 inches. What is the volume of the box in cubic inches?","To find the volume of the box, we need to multiply the length, width, and height of the box.
The formula for volume is V = lwh, where V is the volume, l is the length, w is the width, and h is the height.
We are given that the length (l) is 15 inches, the width (w) is 8 inches, and the height (h) is 6 inches.
We can plug these values into the formula: V = 15 * 8 * 6.
First, we multiply 15 and 8 to get 120.
Then, we multiply 120 by 6 to get 720.
So, the volume of the box is 720 cubic inches.
The final answer is 720.",5,"1. Perimeter, area, and/or volume in standard units of measure","5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure."
A Native American tribe is making a fence around their land for a traditional ceremony. The land is a rectangle with a length of 15 meters and a width of 8 meters. What is the perimeter of the land that needs to be fenced?,"To find the perimeter of the land, we need to add up the lengths of all its sides. 
Since it's a rectangle, it has two sides of 15 meters and two sides of 8 meters. 
The perimeter is the sum of all sides, so we add 15 + 15 + 8 + 8. 
15 + 15 = 30
30 + 8 = 38
38 + 8 = 46
The final answer is 46.",5,"1. Perimeter, area, and/or volume in standard units of measure","5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure."
"A Pokémon trainer has $15.60 to spend on Poké Balls. Each Poké Ball costs $2.40. How many Poké Balls can the trainer buy with the money they have, and how much money will they have left over after buying the Poké Balls?","To solve this problem, we first need to determine how many Poké Balls the trainer can buy with $15.60. 
We need to divide the total amount of money the trainer has ($15.60) by the cost of one Poké Ball ($2.40).
$15.60 / $2.40 = 6.5
Since we cannot buy a fraction of a Poké Ball, the trainer can buy 6 Poké Balls.
To find the total cost of 6 Poké Balls, we multiply the number of Poké Balls (6) by the cost of one Poké Ball ($2.40).
6 x $2.40 = $14.40
Now, we subtract the total cost from the initial amount of money to find the remaining amount.
$15.60 - $14.40 = $1.20
The trainer can buy 6 Poké Balls and will have $1.20 left over.
The final answer is 6.",5,1. Single-step division with decimals,"5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.","5.CE.3:
e) Solve single-step contextual problems involving division with decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm."
A Pokémon trainer has 14 boxes of Poké Balls to store her Pokémon. Each box can hold 25 Poké Balls. How many Poké Balls can the trainer store in total?,"To find the total number of Poké Balls the trainer can store, we need to multiply the number of boxes (14) by the number of Poké Balls each box can hold (25).
14 x 25 = 350
This means the trainer can store a total of 350 Poké Balls.
The final answer is 350.",4,"1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor","4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers."
"A Reptile enclosure is being built in the shape of a rectangle with a length of 15.6 meters and a width of 8.2 meters. If the Reptiles need 2.5 meters of space on each side of the enclosure for a pathway, what is the area of the pathway around the enclosure?","To find the area of the pathway, we first need to find the area of the larger rectangle that includes the pathway. 
The length of the larger rectangle is 15.6 + 2.5 + 2.5 = 20.6 meters.
The width of the larger rectangle is 8.2 + 2.5 + 2.5 = 13.2 meters.
The area of the larger rectangle is 20.6 x 13.2 = 272.72 square meters.
Now, we need to find the area of the enclosure itself.
The area of the enclosure is 15.6 x 8.2 = 127.92 square meters.
To find the area of the pathway, we subtract the area of the enclosure from the area of the larger rectangle.
272.72 - 127.92 = 144.8 square meters.
The final answer is 144.8.",5,"1. Single-step and multistep addition, subtraction, and/or multiplication of decimals
2. Perimeter, area, and/or volume in standard units of measure","5.CE.3 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition, subtraction, multiplication, and division with decimal numbers.
5.MG.2 The student will use multiple representations to solve problems, including those in context, involving perimeter, area, and volume.","5.CE.3:
d) Solve single-step and multistep contextual problems involving addition, subtraction, and multiplication of decimals by applying strategies (e.g., estimation, modeling) and algorithms, including the standard algorithm.
5.MG.2:
g) Solve contextual problems that involve perimeter, area, and volume in standard units of measure."
"A Space Alien has a certain number of UFOs in its fleet. If the Space Alien adds 15 more UFOs to its fleet, it will have a total of 27 UFOs. How many UFOs does the Space Alien have now?","Let's use the information given to us to solve this problem. 
We are given that if the Space Alien adds 15 UFOs to its fleet, it will have a total of 27 UFOs. 
Let's say the number of UFOs the Space Alien has now is x.
We can write an equation from the information given: x + 15 = 27.
Now, we can solve for x by subtracting 15 from both sides of the equation.
x + 15 - 15 = 27 - 15
x = 12
The final answer is 12.",5,"1. Solving a problem that requires writing an equation with a single uknown variable using addition, subtraction, multiplication, and/or division",5.PFA.2 The student will investigate and use variables in contextual problems.,"5.PFA.2:
b) Write an equation (with a single variable that represents an unknown quantity and one operation) from a contextual situation, using addition, subtraction, multiplication, or division."
"A Space Alien is building a landing pad for its UFO in a rectangular shape with a length of 6 meters and a width of 4 meters. What is the area of the landing pad that the Space Alien is building, and how can you justify that this is the correct area for the landing pad?","To find the area of the landing pad, we need to multiply the length by the width.
The length of the landing pad is 6 meters and the width is 4 meters.
Area = length x width
Area = 6 x 4
Area = 24
This means the area of the landing pad is 24 square meters.
We can justify that this is the correct area by counting the number of square units that fit inside the landing pad.
Imagine the landing pad is made up of 24 square tiles, each 1 meter by 1 meter.
We can count the tiles to see that there are 24 tiles that fit exactly inside the landing pad.
So, the area of the landing pad is 24 square meters.
The final answer is 24.",3,1. Determine area of a surface by counting the number of square units,"3.MG.2 The student will use multiple representations to estimate and solve problems, including those in context, involving area and perimeter (in both U.S. Customary and metric units).","3.MG.2:
a) Solve problems, including those in context, involving area:
    i) describe and give examples of area as a measurement in contextual situations; and
    ii) estimate and determine the area of a given surface by counting the number of square units, describe the measurement (using the number and unit) and justify the measurement."
