grade,standard,substandard,math_topic,cc_standard,cc_substandard
3,"3.PFA.1 The student will identify, describe, extend, and create increasing and decreasing patterns (limited to addition and subtraction of whole numbers), including those in context, using various representations.","3.PFA.1:
c) Solve contextual problems that involve identifying, describing, and extending patterns.","1. Identifying, describing, and/or extending patterns based on addition and subtraction of whole numbers","3.OA Solve problems involving the four operations, and identify and explain patterns in arithmetic.","3.OA:
9. Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations. For example, observe that 4 times a number is always even, and explain why 4 times a number can be decomposed into two equal addends. "
3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000",3.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic.,"3.NBT:
2. Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction."
3,"3.MG.2 The student will use multiple representations to estimate and solve problems, including those in context, involving area and perimeter (in both U.S. Customary and metric units).","3.MG.2:
b) Solve problems, including those in context, involving perimeter:
    i) describe and give examples of perimeter as a measurement in contextual situations;
    ii) estimate and measure the distance around a polygon (with no more than six sides) to determine the perimeter and justify the measurement; and
    iii) given the lengths of all sides of a polygon (with no more than six sides), determine its perimeter and justify the measurement.",1. Perimeter of polygons with 6 or fewer sides,3.MD Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures.,"3.MD:
8. Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters."
3,"3.CE.2 The student will recall with automaticity multiplication and division facts through 10 × 10; and represent, solve, and justify solutions to single-step contextual problems using multiplication and division with whole numbers.","3.CE.2:
e) Represent, solve, and justify solutions to single-step contextual problems that involve multiplication and division of whole numbers through 10 × 10.",1. Single-step multiplication and/or division without remainders of whole numbers through 10 x 10,3.OA Represent and solve problems involving multiplication and division.,"3.OA:
3. Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem."
3,3.MG.3 The student will demonstrate an understanding of the concept of time to the nearest minute and solve single-step contextual problems involving elapsed time in one-hour increments within a 12-hour period.,"3.MG.3:
c) Solve single-step contextual problems involving elapsed time in one-hour increments, within a 12-hour period (within a.m. or within p.m.) when given: 
    i) the starting time and the ending time, determine the amount of time that has elapsed;
    ii) the starting time and amount of elapsed time in one-hour increments, determine the ending time; or
    iii) the ending time and the amount of elapsed time in one-hour increments, determine the starting time.",1. Single-step elapsed time problems in one-hour increments within one 12-hour time period,"3.MD Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.","3.MD:
1. Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram."
3,"3.MG.2 The student will use multiple representations to estimate and solve problems, including those in context, involving area and perimeter (in both U.S. Customary and metric units).","3.MG.2:
a) Solve problems, including those in context, involving area:
    i) describe and give examples of area as a measurement in contextual situations; and
    ii) estimate and determine the area of a given surface by counting the number of square units, describe the measurement (using the number and unit) and justify the measurement.",1. Determine area of a surface by counting the number of square units,3.MD Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,"3.MD:
7. Relate area to the operations of multiplication and addition.
    b. Multiply side lengths to find areas of rectangles with wholenumber side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning."
3,"3.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.
3.CE.2 The student will recall with automaticity multiplication and division facts through 10 × 10; and represent, solve, and justify solutions to single-step contextual problems using multiplication and division with whole numbers.","3.CE.1:
e) Represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000.
3.CE.2:
e) Represent, solve, and justify solutions to single-step contextual problems that involve multiplication and division of whole numbers through 10 × 10.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000
2. Single-step multiplication and/or division without remainders of whole numbers through 10 x 10","3.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic.
3.OA Represent and solve problems involving multiplication and division.","3.NBT:
2. Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.
3.OA:
3. Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem."
3,"3.NS.4 The student will solve problems, including those in context, that involve counting, comparing, representing, and making change for money amounts up to $5.00.","3.NS.4:
d) Solve contextual problems to make change from $5.00 or less by using counting on or counting back strategies with concrete or pictorial models.",1. Make change from $5.00 or less,4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,"4.MD:
2. Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale."
4,"4.NS.3 The student will use mathematical reasoning and justification to represent, compare, and order fractions (proper, improper, and mixed numbers with denominators 12 or less), with and without models.","4.NS.3:
g) Represent the division of two whole numbers as a fraction given a contextual situation and a model (e.g., 3/5 means the same as 3 divided by 5 or 3/5 represents the amount of muffin each of five children will receive when sharing three muffins equally).",1. Represent division of two whole numbers as a fraction,3.NF Develop understanding of fractions as numbers.,"3.NF:
1. Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b."
4,4.MG.2 The student will solve single-step and multistep contextual problems involving elapsed time (limited to hours and minutes within a 12-hour period).,"4.MG.2:
a) Solve single-step and multistep contextual problems involving elapsed time in hours and minutes, within a 12-hour period (within a.m., within p.m., and across a.m. and p.m.) when given:
    i) the starting time and the ending time, determine the amount of time that has elapsed in hours and minutes;
    ii) the starting time and amount of elapsed time in hours and minutes, determine the ending time; or
    iii) the ending time and the amount of elapsed time in hours and minutes, determine the starting time.",1. Single-step or multistep elapsed time problems in hours and minutes within one 12-hour time period,4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,"4.MD:
2. Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale."
4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 × 12 and the corresponding division facts.","4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem.",1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend,4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic.,"4.NBT:
6. Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
4,"4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 x 12 and the corresponding division facts.
4.MG.3 The student will use multiple representations to develop and use formulas to solve problems, including those in context, involving area and perimeter limited to rectangles and squares (in both U.S. Customary and metric units).","4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers.
4.MG.3:
f) Solve contextual problems involving area and perimeter of rectangles and squares.","1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor
2. Area and/or perimeter of rectangles or squares","4.NBT: Use place value understanding and properties of operations to perform multi-digit arithmetic.
4.MD: Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.","4.NBT:
5. Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.
4.MD: 
3. Apply the area and perimeter formulas for rectangles in real world and mathematical problems. For example, find the width of a rectangular room given the area of the flooring and the length, by viewing the area formula as a multiplication equation with an unknown factor."
4,"4.CE.3 The student will estimate, represent, solve, and justify solutions to single-step problems, including those in context, using addition and subtraction of fractions (proper, improper, and mixed numbers with like denominators of 2, 3, 4, 5, 6, 8, 10, and 12), with and without models; and solve single-step contextual problems involving multiplication of a whole number (12 or less) and a unit fraction, with models.","4.CE.3:
b) Estimate, represent, solve, and justify solutions to single-step contextual problems using addition and subtraction with fractions (proper or improper) and/or mixed numbers, having like denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12, and simplify the resulting fraction. Addition and subtraction with fractions may include regrouping.","1. Single-step addition and/or subtraction with fractions (proper or improper) and/or mixed numbers with like denominators limited to 2, 3, 4, 5, 6, 8, 10, and 12",4.NF Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers. ,"4.NF:
3. Understand a fraction a/b with a > 1 as a sum of fractions 1/b.
   d. Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem. Grade 4 expectations in this domain are limited to fractions with denominators 2, 3, 4, 5, 6, 8, 10, 12, and 100."
4,"4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.
4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 x 12 and the corresponding division facts.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000.
4.CE.2:
i) Apply strategies (e.g., rounding, compatible numbers, place value) and algorithms, including the standard algorithm, to estimate and determine the quotient of two whole numbers, given a one-digit divisor and a two- or three-digit dividend, with and without remainders.
j) Estimate, represent, solve, and justify solutions to single-step contextual problems involving division with whole numbers.
k) Interpret the quotient and remainder when solving a contextual problem.","1. Single-step division with remainders for a one-digit divisor and a two- or three-digit dividend
2. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000","4.OA Use the four operations with whole numbers to solve problems.
4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic.","4.OA:
3. Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.
4.NBT:
4. Fluently add and subtract multi-digit whole numbers using the standard algorithm.
5. Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.
6. Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
4,"4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000.","1. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000",4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic.,"4.NBT:
4. Fluently add and subtract multi-digit whole numbers using the standard algorithm."
4,"4.MG.1 The student will reason mathematically to solve problems, including those in context, that involve length, weight/mass, and liquid volume using U.S. Customary and metric units.","4.MG.1:
a) Given the equivalent measure of one unit, solve problems, including those in context, by determining the equivalent measures within the U.S. Customary system for: 
    i) length (inches and feet, feet and yards, inches and yards); 
    ii) weight/mass (ounces and pounds); and 
    iii) liquid volume (cups, pints, quarts, and gallons).","1. Determine equivalent measures within the U.S. Customary system for length, weight/mass, and/or liquid volume",4.MD Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,"4.MD:
2. Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale."
4,"4.CE.3 The student will estimate, represent, solve, and justify solutions to single-step problems, including those in context, using addition and subtraction of fractions (proper, improper, and mixed numbers with like denominators of 2, 3, 4, 5, 6, 8, 10, and 12), with and without models; and solve single-step contextual problems involving multiplication of a whole number (12 or less) and a unit fraction, with models.","4.CE.3:
c) Solve single-step contextual problems involving multiplication of a whole number, limited to 12 or less, and a unit fraction (e.g., 6 × 1/3, 1/5 × 8, 2 × 1/10), with models.","1. Single-step multiplication of a whole number 12 or less with a unit fraction with denominators 2, 3, 4, 5, 6, 8, 10, and 12",4.NF Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers. ,"4.NF:
4. Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.
   c. Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem. For example, if each person at a party will eat 3/8 of a pound of roast beef, and there will be 5 people at the party, how many pounds of roast beef will be needed? Between what two whole numbers does your answer lie?"
4,"4.CE.1 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using addition and subtraction with whole numbers.
4.CE.2 The student will estimate, represent, solve, and justify solutions to single-step and multistep problems, including those in context, using multiplication with whole numbers, and single-step problems, including those in context, using division with whole numbers; and recall with automaticity the multiplication facts through 12 x 12 and the corresponding division facts.","4.CE.1:
d) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems involving addition and subtraction with whole numbers where addends and minuends do not exceed 1,000,000.
4.CE.2:
g) Apply strategies (e.g., rounding, place value, properties of multiplication and/or addition) and algorithms, including the standard algorithm, to estimate and determine the product of two whole numbers when given:
    i) a two-digit factor and a one-digit factor;
    ii) a three-digit factor and a one-digit factor; or
    iii) a two-digit factor and a two-digit factor.
h) Estimate, represent, solve, and justify solutions to single-step and multistep contextual problems that involve multiplication with whole numbers.","1. Single-step or multistep multiplication with whole numbers using a) a two-digit factor and a one-digit factor, b) a three-digit factor and a one-digit factor or c) a two-digit factor and a two-digit factor
2. Single-step or multistep addition and/or subtraction with whole numbers less than 1,000,000","4.OA Use the four operations with whole numbers to solve problems.
4.NBT Use place value understanding and properties of operations to perform multi-digit arithmetic.","4.OA:
3. Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.
4.NBT:
4. Fluently add and subtract multi-digit whole numbers using the standard algorithm.
5. Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models."
