,prompt,question
0,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Olivia has 16 books. She donates 7 books to the library and then buys 8 more from the bookstore. How many books does Olivia have now?",Olivia has 16 books. She donates 7 books to the library and then buys 8 more from the bookstore. How many books does Olivia have now?
1,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Lucy has 14 chocolate bars. She gives 6 to her cousin and then buys 3 more. How many chocolate bars does Lucy have in total?",Lucy has 14 chocolate bars. She gives 6 to her cousin and then buys 3 more. How many chocolate bars does Lucy have in total?
2,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are 8 crayons in the box. Sally takes 3 crayons and then puts 2 back. How many crayons are left in the box?",There are 8 crayons in the box. Sally takes 3 crayons and then puts 2 back. How many crayons are left in the box?
3,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Sophia has 15 apples. She decides to share 7 apples with her siblings. Later, her mother buys her 5 more apples. How many apples does Sophia have now?","Sophia has 15 apples. She decides to share 7 apples with her siblings. Later, her mother buys her 5 more apples. How many apples does Sophia have now?"
4,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Amy has 8 crayons in her pencil case. She gives 2 crayons to her friend Lily. Amy receive 6 crayons from her grandfather. How many crayons does Amy have now?",Amy has 8 crayons in her pencil case. She gives 2 crayons to her friend Lily. Amy receive 6 crayons from her grandfather. How many crayons does Amy have now?
5,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Mia has 9 erasers. She loses 1 eraser during recess but finds 3 more in her backpack. How many erasers does Mia have now?",Mia has 9 erasers. She loses 1 eraser during recess but finds 3 more in her backpack. How many erasers does Mia have now?
6,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are 14 students in the school choir. 6 students leave for a music lesson, and 3 new students join the choir. How many students are in the choir now?","There are 14 students in the school choir. 6 students leave for a music lesson, and 3 new students join the choir. How many students are in the choir now?"
7,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Liam has 11 jellybeans. He eats 3 and then finds 2 more in his pocket. How many jellybeans does Liam have now?",Liam has 11 jellybeans. He eats 3 and then finds 2 more in his pocket. How many jellybeans does Liam have now?
8,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Olivia has 13 candies. She eats 5 candies and then receives 3 more from the teacher. How many candies does Olivia have now?",Olivia has 13 candies. She eats 5 candies and then receives 3 more from the teacher. How many candies does Olivia have now?
9,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are 8 red balls and 5 blue balls in the school gym. If 3 blue balls are taken out, how many balls are left in the gym?","There are 8 red balls and 5 blue balls in the school gym. If 3 blue balls are taken out, how many balls are left in the gym?"
10,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Zoe has 14 markers. She uses 6 markers for her drawing and then buys 1 more from the school store. How many markers does Zoe have now?",Zoe has 14 markers. She uses 6 markers for her drawing and then buys 1 more from the school store. How many markers does Zoe have now?
11,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Jack has 9 erasers. He trades 6 erasers with his friend and then buys 1 more from the school store. How many erasers does Jack have now?",Jack has 9 erasers. He trades 6 erasers with his friend and then buys 1 more from the school store. How many erasers does Jack have now?
12,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Jack has 15 marbles. He gives 6 marbles to his sister and then finds 4 more in his backpack. How many marbles does Jack have now?",Jack has 15 marbles. He gives 6 marbles to his sister and then finds 4 more in his backpack. How many marbles does Jack have now?
13,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are 10 students in the classroom. 3 students go to the library, and 2 more students join the class later. How many students are in the classroom now?","There are 10 students in the classroom. 3 students go to the library, and 2 more students join the class later. How many students are in the classroom now?"
14,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Maya has 15 lollipops. She gives 6 lollipops to her little brother. Later, she receives 4 more lollipops as a birthday present. How many lollipops does Maya have now?","Maya has 15 lollipops. She gives 6 lollipops to her little brother. Later, she receives 4 more lollipops as a birthday present. How many lollipops does Maya have now?"
15,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Mark has 15 books in his backpack. He gets out 4 books during lunch and puts 2 more in his backpack. How many books does Mark have now?",Mark has 15 books in his backpack. He gets out 4 books during lunch and puts 2 more in his backpack. How many books does Mark have now?
16,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Emily has 6 markers. She gives 1 marker to her table partner. Then the teacher gives her 2 more markers. How many markers does Emily have now?",Emily has 6 markers. She gives 1 marker to her table partner. Then the teacher gives her 2 more markers. How many markers does Emily have now?
17,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Alex has 9 toy cars. He gives 2 toy cars to his friend, Mike. Then his friend gives him 5 more toy cars. How many toy cars does Alex have in total?","Alex has 9 toy cars. He gives 2 toy cars to his friend, Mike. Then his friend gives him 5 more toy cars. How many toy cars does Alex have in total?"
18,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#David has 8 erasers. He trades 5 erasers with his friend and then buys 2 more from the school store. How many erasers does David have now?",David has 8 erasers. He trades 5 erasers with his friend and then buys 2 more from the school store. How many erasers does David have now?
19,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Owen has 7 colored pencils. He lends 2 colored pencils to his classmate and then gets 1 more from the teacher. How many colored pencils does Owen have now?",Owen has 7 colored pencils. He lends 2 colored pencils to his classmate and then gets 1 more from the teacher. How many colored pencils does Owen have now?
20,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#Lily has 17 biscuits. She eats 9 biscuits and then receives 8 more as a gift from her grandmother. How many biscuits does Lily have now?",Lily has 17 biscuits. She eats 9 biscuits and then receives 8 more as a gift from her grandmother. How many biscuits does Lily have now?
21,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#There are 9 kids on the school bus. 3 kids get off at the first stop, and 1 more kid gets on. How many kids are on the bus now?","There are 9 kids on the school bus. 3 kids get off at the first stop, and 1 more kid gets on. How many kids are on the bus now?"
22,"<s> [INST] Think you are a maths teacher. Create math word problems satisfying the following requirements:
  [
      Grade: 1,
      Section: Addition & Subtraction(Within 20),
      Number of questions: 1

  ]
 [/INST] </s>
Generated questions:
#1)#John has 7 pencils. He lends 2 pencils to his classmate and then finds 3 more in the classroom. How many pencils does John have now?",John has 7 pencils. He lends 2 pencils to his classmate and then finds 3 more in the classroom. How many pencils does John have now?
